Wiek,Plec,Dzien,Zasięg,Wyswietlenia,"Budzet","Kliki",Zakupy,"Komenty_post","Reakcje_post","Początek okresu raportowania","Koniec okresu raportowania"
55-64,male,2020-12-20,1,1,0.02,0,,,,2020-12-20,2020-12-20
45-54,female,2020-12-20,732,743,6.76,33,,,1,2020-12-20,2020-12-20
65+,male,2020-12-20,4,8,0.04,1,,,,2020-12-20,2020-12-20
35-44,female,2020-12-20,1014,1148,10.86,98,,2,1,2020-12-20,2020-12-20
35-44,male,2020-12-20,2288,2682,25.46,169,1,2,5,2020-12-20,2020-12-20
25-34,male,2020-12-20,1038,1180,10.73,88,,,,2020-12-20,2020-12-20
45-54,male,2020-12-20,1372,1571,13.98,99,,1,8,2020-12-20,2020-12-20
25-34,female,2020-12-20,430,472,4.68,51,1,,2,2020-12-20,2020-12-20
18-24,female,2020-12-20,26,32,0.26,4,,,1,2020-12-20,2020-12-20
18-24,male,2020-12-20,32,44,0.39,2,,,,2020-12-20,2020-12-20
55-64,female,2020-12-20,4,4,0.03,0,,,,2020-12-20,2020-12-20
45-54,unknown,2020-12-20,1,1,0.01,0,,,,2020-12-20,2020-12-20
35-44,unknown,2020-12-20,0,1,0,0,,,,2020-12-20,2020-12-20
25-34,unknown,2020-12-20,0,2,0.01,0,,,,2020-12-20,2020-12-20
25-34,male,2020-12-19,689,731,10.43,61,,,,2020-12-19,2020-12-19
45-54,male,2020-12-19,703,751,9.31,63,,1,2,2020-12-19,2020-12-19
35-44,male,2020-12-19,1270,1360,18.12,103,,1,5,2020-12-19,2020-12-19
65+,male,2020-12-19,3,4,0.06,0,,,,2020-12-19,2020-12-19
55-64,male,2020-12-19,2,2,0.05,0,,,,2020-12-19,2020-12-19
35-44,female,2020-12-19,767,819,10.66,47,,,2,2020-12-19,2020-12-19
55-64,female,2020-12-19,1,1,0.01,0,,,,2020-12-19,2020-12-19
45-54,female,2020-12-19,435,459,6.79,20,,,,2020-12-19,2020-12-19
25-34,female,2020-12-19,304,321,4.5,29,,,,2020-12-19,2020-12-19
18-24,male,2020-12-19,38,44,0.65,5,,,,2020-12-19,2020-12-19
18-24,female,2020-12-19,24,25,0.38,0,,,,2020-12-19,2020-12-19
