dzien;plec;zasieg;wyswietlenia;klik;budzet;zakup_fb;liczba_prod;liczba_zam;przychod
25.09.2020;K;136;137;9;2,65;0;0;0;0
25.09.2020;M;80;80;3;1,82;0;0;0;0
26.09.2020;K;1493;1676;135;19,81;0;0;0;0
26.09.2020;M;2742;2994;155;31,31;0;0;0;0
27.09.2020;K;3644;3914;425;31,65;0;0;0;0
27.09.2020;M;2458;2633;261;21,31;0;0;0;0
28.09.2020;K;3450;3576;538;28,26;0;0;0;0
28.09.2020;M;3550;3708;503;29,36;2;0;0;0
29.09.2020;K;3426;3736;453;32,32;0;0;0;0
29.09.2020;M;3102;3370;326;29,79;0;0;0;0
30.09.2020;K;6418;6881;897;50,16;0;2;1;192,7
30.09.2020;M;1834;1907;199;13,95;1;2;2;215,6
01.10.2020;K;7031;7353;1106;45,34;0;0;0;0
01.10.2020;M;3102;3197;396;18,54;0;0;0;0
02.10.2020;K;6288;6353;633;49,55;2;0;0;0
02.10.2020;M;4208;4281;440;32,55;1;1;1;102,8
03.10.2020;K;7596;7709;735;60,02;0;0;0;0
03.10.2020;M;7248;7446;583;63,36;4;0;0;0
04.10.2020;K;9592;9596;953;75,77;2;0;0;0
04.10.2020;M;7312;7316;582;54,14;2;0;0;0
05.10.2020;K;7375;7379;614;72,27;1;1;1;102,8
05.10.2020;M;6148;6204;469;56,42;1;4;4;488,2
06.10.2020;K;7180;7409;671;78,38;1;3;3;308,4
06.10.2020;M;6124;6472;507;50,31;0;9;8;1066,3
07.10.2020;K;6917;7112;691;74,93311145;1;0;0;0
07.10.2020;M;5760;5808;508;54,3167528;4;0;0;0
08.10.2020;K;5540;5707;716;50,99;1;0;0;0
08.10.2020;M;4710;4810;504;39,6;3;0;0;0
09.10.2020;K;6200;6441;691;63,17;0;1;1;102,8
09.10.2020;M;4556;4909;514;45,94;4;7;4;411,2
10.10.2020;K;13984;14399;1527;170,09;2;0;0;0
10.10.2020;M;14128;15266;1537;181,15;13;0;0;0
11.10.2020;K;16152;17537;1844;185,41;1;0;0;0
11.10.2020;M;16360;18138;1833;171,52;5;0;0;0
12.10.2020;K;12720;13468;1295;129,55;6;0;0;0
12.10.2020;M;15000;15875;1416;134,86;7;0;0;0
13.10.2020;K;13496;13990;1444;144,32;2;10;9;1669,8
13.10.2020;M;13024;14724;1432;134,8;9;18;17;2132,6
14.10.2020;K;12344;13339;1314;136,5;2;22;18;2479,3
14.10.2020;M;14304;16292;1531;140,36;9;31;27;3006,6
15.10.2020;K;11168;11881;1267;123,5388192;4;0;0;0
15.10.2020;M;15648;16923;1736;156,0511401;3;0;0;0
16.10.2020;K;11872;13054;1382;136,4;2;11;10;1425,9
16.10.2020;M;13248;14691;1544;142,24;9;35;30;3969,7
17.10.2020;K;14552;15038;1519;172,19;5;0;0;0
17.10.2020;M;14288;15602;1409;149,64;4;0;0;0
18.10.2020;K;20336;21751;2029;226,13;4;0;0;0
18.10.2020;M;15904;18500;1497;152,44;8;0;0;0
19.10.2020;K;13617;14409;1516;163,5760816;0;12;12;1541,6
19.10.2020;M;10576;11578;1113;104,8038965;9;16;14;1747,2
20.10.2020;K;11896;12939;1359;149,67;1;0;0;0
20.10.2020;M;10168;11200;988;115,56;5;0;0;0
21.10.2020;K;11800;12920;1416;130,8549418;2;19;16;2132,6
21.10.2020;M;12256;13653;1305;133,45504;2;47;41;5832,2
22.10.2020;K;13136;14006;1492;138,944824;0;6;6;693,8
22.10.2020;M;11264;12517;1082;128,8951984;4;20;17;2222,5
23.10.2020;K;11828;12455;1136;112,58;1;3;3;552,3
23.10.2020;M;10172;11290;827;120,19;0;7;7;796,6
24.10.2020;K;10760;11472;1024;112,7450186;1;0;0;0
24.10.2020;M;9860;10689;877;112,5450274;1;0;0;0
25.10.2020;K;14000;15472;1282;129,52;0;0;0;0
25.10.2020;M;15224;16541;1249;136,09;3;0;0;0
26.10.2020;K;10476;10923;687;104,4949536;1;9;8;1053,4
26.10.2020;M;11320;12716;836;102,2850604;5;20;16;2222,5
27.10.2020;K;11288;11754;851;107,92;0;3;3;308,4
27.10.2020;M;10308;11479;731;94,52;1;20;17;2132,6
28.10.2020;K;10868;11332;740;107,27;3;2;2;359,6
28.10.2020;M;9640;10739;634;97,01;4;12;12;1541,6
29.10.2020;K;10372;10803;638;107,98;0;5;4;551,1
29.10.2020;M;9960;10802;610;103,25;1;9;9;1079,2
30.10.2020;K;9712;10039;626;98,04;3;2;2;205,6
30.10.2020;M;10496;11845;657;105,05;1;3;3;475,3
31.10.2020;K;10568;11116;734;103,22;0;0;0;0
31.10.2020;M;11296;12455;712;105,33;2;0;0;0
01.11.2020;K;12872;14019;757;98,06;1;0;0;0
01.11.2020;M;15288;16743;831;107,99;0;0;0;0
02.11.2020;K;12256;13102;874;95,02;0;0;0;0
02.11.2020;M;13344;14346;774;100,12;1;0;0;0
03.11.2020;K;8732;9504;708;55,19;1;5;4;565,2
03.11.2020;M;10548;11816;828;67,91;3;9;9;925,2
04.11.2020;K;8584;8939;674;54,78;2;4;3;462,4
04.11.2020;M;10392;11301;783;68,72;3;7;7;719,6
05.11.2020;K;7136;7323;446;50,03;0;0;0;0
05.11.2020;M;9676;10758;649;73,05;2;0;0;0
06.11.2020;K;6860;7383;435;52,8941774;2;7;6;924,8
06.11.2020;M;9565;10528;609;73,54580839;0;7;7;976,4
07.11.2020;K;6612;6815;484;53,4;1;0;0;0
07.11.2020;M;8484;9521;609;74,92;0;0;0;0
08.11.2020;K;6888;7279;447;50,65;0;0;0;0
08.11.2020;M;10164;11251;594;73,3;0;0;0;0
09.11.2020;K;6828;7015;443;52,74;0;8;8;1220,3
09.11.2020;M;9220;10135;513;69,1;1;2;2;205,6
10.11.2020;K;4784;5202;345;46,9;3;0;0;0
10.11.2020;M;8584;9245;591;76,7;1;0;0;0
11.11.2020;K;3500;3711;242;37,11;0;0;0;0
11.11.2020;M;8268;9018;541;85,65;1;6;5;591
12.11.2020;K;5472;5626;408;48,54616175;0;2;2;359,6
12.11.2020;M;8487;9086;542;77,85384457;0;5;5;668
13.11.2020;K;5192;5568;395;46,46617153;1;0;0;0
13.11.2020;M;8683;9576;488;74,78383836;0;0;0;0
14.11.2020;K;4831;5195;273;45,96556131;0;0;0;0
14.11.2020;M;8570;9508;492;81,16450463;1;0;0;0
15.11.2020;K;5100;5302;290;38,44;0;0;0;0
15.11.2020;M;11176;12527;556;86,44;2;0;0;0
16.11.2020;K;5468;5780;347;41,61;0;6;6;937,7
16.11.2020;M;11344;12083;614;82,65;2;3;3;385,4
17.11.2020;K;4916;5279;320;42,04;0;0;0;0
17.11.2020;M;10076;11141;600;82,35;3;0;0;0
18.11.2020;K;5519;5774;386;49,38602271;1;1;1;102,8
18.11.2020;M;8367;9606;525;74,61399098;0;6;6;616,8
19.11.2020;K;4824;4941;300;44,8;0;1;1;102,8
19.11.2020;M;8172;8973;430;74,03;0;2;2;205,6
20.11.2020;K;4489;4745;273;47,88;0;0;0;0
20.11.2020;M;7597;8643;388;76,8;1;0;0;0
21.11.2020;K;4160;4300;247;44,69;2;0;0;0
21.11.2020;M;7388;8181;444;79,58;1;0;0;0
22.11.2020;K;4572;5865;289;65,94;2;0;0;0
22.11.2020;M;7712;11335;681;128,13;4;0;0;0
23.11.2020;K;3984;5147;311;57,61;2;7;6;855,6
23.11.2020;M;6884;9396;565;106,51;1;12;8;980,4
24.11.2020;K;1907;2134;110;27,26;3;0;0;0
24.11.2020;M;3071;3515;189;40,1;0;0;0;0
25.11.2020;K;4058;4537;240;77,77;0;3;3;325,4
25.11.2020;M;5376;5941;313;88,97;0;4;4;475,2
26.11.2020;K;1936;2383;125;31,62;0;0;0;0
26.11.2020;M;3308;4049;208;50,94;1;0;0;0
27.11.2020;K;1600;1867;109;28,51;1;1;1;149,8
27.11.2020;M;3636;4209;226;56,66;0;6;6;588,8
28.11.2020;K;1548;1886;80;27,67;0;0;0;0
28.11.2020;M;3554;4275;238;57;1;0;0;0
29.11.2020;K;1746;2152;93;24,7;1;0;0;0
29.11.2020;M;4444;5318;227;54,77;2;0;0;0
30.11.2020;K;1194;1441;78;17,78;0;8;7;676,6
30.11.2020;M;3007;3549;166;38,18;1;6;6;588,8
01.12.2020;K;343;485;19;6,75;0;0;0;0
01.12.2020;M;889;1234;60;13,15;0;0;0;0
02.12.2020;K;341;473;18;6,54;0;2;2;205,6
02.12.2020;M;777;1096;37;12,78;0;2;2;175,6
03.12.2020;K;326;465;18;6,45;1;0;0;0
03.12.2020;M;778;1100;57;13;0;0;0;0
04.12.2020;K;129;147;6;2,33;0;4;2;359,6
04.12.2020;M;265;302;14;3,9;0;2;2;251,6
19.12.2020;K;1531;1625;96;22,34;0;0;0;0
19.12.2020;M;2705;2892;232;38,62;0;0;0;0
20.12.2020;K;2208;2399;186;22,59;1;0;0;0
20.12.2020;M;4736;5486;359;50,62;1;0;0;0
