zam_prod_id;zamow_id;produkt_id;produkt_kod;kolor;product_rozmiar;cena;ilosc;nastanie;status_odbioru
2;2;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;99.90;1;0;0
4;4;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
13;12;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
17;15;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
19;17;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
24;21;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
26;23;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
27;24;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
64;54;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
72;60;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
80;67;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
85;71;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
101;85;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
106;89;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;2;0;0
123;102;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
124;103;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
127;104;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
129;106;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
130;107;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
137;113;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;2;0;0
148;122;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
156;127;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
159;129;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;2;0;0
164;134;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;2;0;0
173;142;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
175;144;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
181;149;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
186;153;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
187;154;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
188;155;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
191;157;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
198;163;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
199;164;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
201;166;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
206;170;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;2;0;0
210;174;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
217;181;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
218;182;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
220;183;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
221;184;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;2;0;0
223;185;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
225;187;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
227;188;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
229;189;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
231;190;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
232;191;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
236;195;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
238;196;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
239;197;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
241;198;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
242;199;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
243;200;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
244;201;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
246;202;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
247;203;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
248;204;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
249;205;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
252;207;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;4;0;0
253;208;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;4;0;0
254;209;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
258;212;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
259;213;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
262;216;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
265;218;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
273;224;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
277;226;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
288;234;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
303;249;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
304;250;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;2;0;0
313;257;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
322;262;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
326;266;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
332;271;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
336;275;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
343;280;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
349;283;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
357;289;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
364;293;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
372;299;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
384;310;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
389;313;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
390;314;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
393;315;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
401;322;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
414;332;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
419;336;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
428;343;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
431;345;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
454;366;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
462;371;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
469;377;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
477;384;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
478;385;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
493;399;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
